№ п/п;Товар;Обозначение;Модификация;Кол-во;На заказы;Поставщик
307;Болт(кл.8*8) с полной резьбой DIN 933 цинк РМЗ;М16х30х2;<>;1442; ;Центр крепежа
308;Болт(кл.8*8) с полной резьбой DIN 933 цинк РМЗ;М16х75х2;<>;250; ;Центр крепежа
309;Бонка;ТШАГ.711161.001;<>;44; ;ТЕХКОМ НН
310;Бонка;ТШАГ.713232.024;<>;440; ;ТЕХКОМ НН
311;Борт;МПО-00.006;<>;6; ;ПМК ООО
312;Боты диэлектрические; ;<>;2; ;ТЕХНОАВИА-ВОЛГА
313;Боты диэлектрические; ;<>;10; ;ЭЛЛЕВИН ООО
314;Броня;НГКШ.745418.664;<>;2; ;Крабер ООО
315;Броня;НГКШ.745418.662;<>;8; ;Крабер ООО
316;Броня;НГКШ.745418.663;<>;8; ;Крабер ООО
317;Броня;НГКШ.745512.2122;<>;26; ;ПМК ООО
318;Броня;НГКШ.745512.2124;<>;28; ;ПМК ООО
319;Броня;НГКШ.745512.2194;<>;2; ;ПМК ООО
320;Броня 100А Palsun;НГКШ.745418.620;<>;2; ;РОСИЗОЛИТ ООО
321;Броня 100А Palsun;НГКШ.745418.620;<>;6; ;СПЕЦСНАБ-НН ТД
322;Броня Palsun;НГКШ.745418.621;<>;8; ;СПЕЦСНАБ-НН ТД
323;Броня PLS;НГКШ.745418.746;<>;2; ;РОСИЗОЛИТ ООО
324;Броня отсека СШ (PALSUN);НГКШ.745512.2125;<>;19; ;РОСИЗОЛИТ ООО
325;Броня отсека СШ (PALSUN);НГКШ.745512.2125;<>;9; ;СПЕЦСНАБ-НН ТД
326;Броня Т5 (Palsun);НГКШ.745571.459;<>;9; ;РОСИЗОЛИТ ООО
327;Броня ТОП;НГКШ.745512.207;<>;6; ;Крабер ООО
328;Вакуумный выключатель 048 исполнения / Модуль коммутационный;ВВ/TEL-10-20/1000-048/ ISM15_LD_1(48) СТОРОННИЕ;<>;106; ;Таврида Электрик
329;Вакуумный выключатель 048 исполнения / Модуль коммутационный;ВВ/TEL-10-20/1000-048/ ISM15_LD_1(48) СТОРОННИЕ;<>;30; ;Таврида Электрик СПб
330;Вакуумный выключатель 048 исполнения / Модуль коммутационный;ВВ/TEL-10-20/1000-048/ ISM15_LD_1(48)(покупка у ГК);<>;18; ;Таврида Электрик СПб
331;Вакуумный выключатель 051 исполнения;ВВ/TEL-10-20/1000-051F/ ISM15_LD_2(51);<>;1; ;Таврида Электрик
332;Вакуумный выключатель 052исполнения;ВВ/TEL-10-20/1000-051F/ ISM15_LD_2(52);<>;1; ;Таврида Электрик
333;Вал;ТШАГ.303733.017;<>;3; ;Крабер ООО
334;Вал;ТШАГ.303733.019;<>;1; ;Крабер ООО
335;Вал;ТШАГ.303733.016;<>;39; ;Крабер ООО
336;Вал;ТШАГ.303733.016-01;<>;53; ;Крабер ООО
337;Вал;ТШАГ.715424.000;<>;3; ;МЕТАСФЕРА
338;Вал;ТШАГ.715524.003;<>;3; ;МЕТАСФЕРА
339;Вал;ТШАГ.715524.002;<>;9; ;ТЕХКОМ НН
340;Вал;ИТЕА.716312.003-01;<>;378; ;ТЕХКОМ НН
341;Вал;НГКШ.303733.025;<>;4; ;ТЕХКОМ НН
342;Вал;НГКШ.715312.010;<>;17; ;ТЕХКОМ НН
343;Вал;ТШАГ.715524.001;<>;350; ;ТЕХКОМ НН
344;Вал;НГКШ.715312.035;<>;73; ;ТЕХКОМ НН
345;Вал;НГКШ.715312.618;<>;2; ;ТЕХКОМ НН
346;Вал в сборе;НГКШ.715312.193;<>;3; ;ТЕХКОМ НН
347;Вал в сборе;НГКШ.715312.523;<>;4; ;ТЕХКОМ НН
348;Вал в сборе;НГКШ.715312.183 СБ;<>;44; ;ТЕХКОМ НН
349;Вал в сборе;НГКШ.715312.096-2651 СБ;<>;47; ;ТЕХКОМ НН
350;Вал верхний;ТШАГ.303733.018;<>;3; ;Крабер ООО
351;Вал вката;НГКШ.301341.1693-01;<>;2; ;ТЕХКОМ НН
352;Вал вката;НГКШ.715312.058;<>;290; ;ТЕХКОМ НН
353;Вал вката;НГКШ.715312.117-01;<>;3; ;ТЕХКОМ НН
354;Вал вката;НГКШ.301341.1370;<>;5; ;ТЕХКОМ НН
355;Вал вката;НГКШ.301341.1368;<>;5; ;ТЕХКОМ НН
356;Вал вката;НГКШ.301341.1693;<>;1; ;ТЕХКОМ НН
357;Вал вката;НГКШ.301341.1694;<>;3; ;ТЕХКОМ НН
358;Вал вката;НГКШ.301341.1431;<>;4; ;ТЕХКОМ НН
359;Вал вката в сборе;НГКШ.715312.154;<>;11; ;ТЕХКОМ НН
360;Вал разъединителей верхний;ТШАГ.303733.006;<>;295; ;Крабер ООО
361;Вал разъединителей нижний;ТШАГ.303733.007;<>;295; ;Крабер ООО
362;Вал фиксатора;НГКШ.715312.639;<>;2; ;ТЕХКОМ НН
363;Вал фиксатора;НГКШ.715312.621;<>;7; ;ТЕХКОМ НН
364;Вал фиксатора;НГКШ.715312.524;<>;3; ;ТЕХКОМ НН
365;Вал фиксатора;НГКШ.715312.120;<>;6; ;ТЕХКОМ НН
366;Вал фиксатора;НГКШ.715312.458;<>;2; ;ТЕХКОМ НН
367;Вал фиксатора;НГКШ.715312.450;<>;129; ;ТЕХКОМ НН
368;Вал фиксатора;НГКШ.715312.387;<>;2; ;ТЕХКОМ НН
369;Вал фиксатора;НГКШ.715312.317;<>;44; ;ТЕХКОМ НН
370;Вал червяка;НГКШ.715312.118;<>;7; ;ТЕХКОМ НН
371;Вал червяка в сборе;НГКШ.715312.060;<>;342; ;YUEQING LIYOND ELECTRIC CO.,LTD
372;Ввод кабельный/сальник;KXP-01;<>;1800; ;АМИТРОН -ЭК
373;Ввод кабельный/сальник;PG-21;<>;800; ;Толедо СК
374;Ввод кабельный/сальник;PG-29;<>;500; ;Толедо СК
375;Ввод кабельный/сальник (d=25мм) для ВЭ;YSA 40-25-32-68-К01;<>;300; ;Толедо СК
376;Ввод кабельный/сальник (d=25мм) для ВЭ;YSA 40-25-32-68-К01;<>;100; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
377;Ввод кабельный/сальник (D=30/d15-2 мм);PG-25 (G 2131/9);<>;800; ;Толедо СК
378;Ввод кабельный/сальник (d=40мм);YSA 40-40-49-68-К01;<>;528; ;Толедо СК
379;Ввод кабельный/сальник М20;SQ0814-0001;<>;200; ;Возврат с производства
380;Ввод кабельный/сальник М32, 13-20мм, IP;19000005094;<>;125; ;Хартинг ООО
381;Ввод кабельный/сальник М32, 13-25мм;19000005095;<>;25; ;Хартинг ООО
382;Вентилятор осевой;YWF2S - 200 BF;<>;8; ;ВАНВЕНТ ПК
383;Вентилятор осевой;ECW 304 М4;<>;8; ;РусРесурс Трейдинг
384;Вентилятор с решеткой и фильтром  230/270  м3/час, 230В dks;R5KV15230;<>;15; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
385;Вентилятор с фильтром;PTF 1500T;<>;6; ;Электро-Лайн ООО
386;Вентилятор с фильтром, питание 230В АС;FF 250-300;<>;1; ;СТРОЙЭНЕРГО ООО
387;Верхний лист;НГКШ.745512.2214;<>;2; ;Крабер ООО
388;Верхняя к перекидной шине С (Монт.ком.);ШМШ-22.02.01;<>;1; ;Электротехника (МЕХ.ЦЕХ)
389;Вилка;ТШАГ.745312.026;<>;255; ;Крабер ООО
390;Вилка;ОЛТ-01 02.00 СБ;<>;408; ;ПМК ООО
391;Вилка;ТШАГ.715134.001;<>;1; ;ТЕХКОМ НН
392;Вилка;ТШАГ.758441.003-01;<>;319; ;ТЕХКОМ НН
393;Вилка;ТШАГ.758441.003;<>;321; ;ТЕХКОМ НН
394;Вилка;НГКШ.713232.341;<>;9; ;ТЕХКОМ НН
395;Вилка;ТШАГ.303671.012;<>;320; ;Электротехника (МЕХ.ЦЕХ)
396;Вилка 24DD, кримп;09160243001;<>;128; ;Хартинг ООО
397;Вилка 42DD, крим;09160423001;<>;3; ;Хартинг ООО
398;Вилка в кабельном корпусе;СШР48П20ЭГ2;<>;100; ;ИП Карпенко Ю.Д.
399;Вилка в кабельном корпусе;СШР55П30ЭГ1;<>;310; ;ИП Карпенко Ю.Д.
400;Вилка в кабельном корпусе;СШР55П30ЭГ1;<>;70; ;Каскад НПО
401;Вилка в кабельном корпусе;2РТТ48КПЭ20Ш28В;<>;40; ;Каскад НПО
402;Вилка в кабельном корпусе;СШР48П20ЭГ2;<>;50; ;Каскад НПО
403;Вилка ВП-24-10-250-УХЛЗ ТУ;06105010;<>;25; ;Каскад НПО
404;Вилка ВП-32-16-500-УХЛЗ ТУ;06107070;<>;20; ;Каскад НПО
405;Вилка ВП-46-16-500-УХЛ3;06108090;<>;8; ;Каскад НПО
406;Вилка ВП-6А/6В-100/16-690/400-УХЛЗ ТУ;06108170;<>;3; ;Каскад НПО
407;Вилка ЕЕ32, кримп;09320323001;<>;144; ;Хартинг ООО
408;Вилка ЕМКА 1092-02;НГКШ.745512.2066;<>;160; ;Крабер ООО
409;Вилка К6/6, винт;09380122651;<>;2; ;Хартинг ООО
410;Вилка прямая белая;В 6-004;<>;44; ;Толедо СК
411;Винт;НГКШ.715312.435;<>;537; ;МЕТАСФЕРА
412;Винт;НГКШ.715312.627;<>;8; ;ТЕХКОМ НН
413;Винт;ТШАГ.713513.003;<>;313; ;ТЕХКОМ НН
414;Винт;НГКШ.715312.638;<>;16; ;ТЕХКОМ НН
415;Винт;ТШАГ.713513.002;<>;273; ;ТЕХКОМ НН
416;Винт;НГКШ.715312.482-01;<>;31; ;ТЕХКОМ НН
417;Винт;НГКШ.715312.393;<>;4; ;ТЕХКОМ НН
418;Винт;НГКШ.715312.482;<>;29; ;ТЕХКОМ НН
419;Винт;НГКШ.715312.615;<>;12; ;ТЕХКОМ НН
420;Винт;НГКШ.713232.278;<>;6; ;ТЕХКОМ НН
421;Винт;ТШАГ.758221.002;<>;72; ;ТЕХКОМ НН
422;Винт;НГКШ.715312.006-01;<>;480; ;ТЕХКОМ НН
423;Винт;НГКШ.715312.535;<>;12; ;ТЕХКОМ НН
424;Винт;М16х50 DIN 912;<>;50; ;Центр крепежа
425;Винт (8*8) с внутренним шестигранником;М8х20;<>;100; ;Центр крепежа
426;Винт (полукруг);М5х16;<>;25; ;АЛЛ Метиз МК ООО
427;Винт (полукруг);М4х25;<>;25; ;АЛЛ Метиз МК ООО
428;Винт (потай шестигранник) DIN 912;М10х30;<>;181; ;АЛЛ Метиз МК ООО
429;Винт (потай шестигранник) DIN 912;М10х30;<>;50; ;Центр крепежа
430;Винт (потай);М8х20;<>;25; ;АЛЛ Метиз МК ООО
431;Винт (потай);М8х50;<>;30; ;АЛЛ Метиз МК ООО
432;Винт (потай);М8х20;<>;25; ;Центр крепежа
433;Винт (потай);М4х40;<>;14.33; ;Центр крепежа
434;Винт (потай);М8х16;<>;4; ;Центр крепежа
435;Винт верхнего контакта;НГКШ.715312.267;<>;36; ;ТЕХКОМ НН
436;Винт для К-IIIУ/К-VIУ;НГКШ.715312.006-01-2651 СБ;<>;18; ;ТЕХКОМ НН
437;Винт нижнего контакта;НГКШ.715312.266;<>;36; ;ТЕХКОМ НН
438;Винт с полукруглой головкой и квадр. подголовником;VM6x10;<>;300; ;Завод КМК
439;Винт с потайной головкой и внутренним шестигранником DIN 7991 цинк;М16х30;<>;50; ;СБС-МЕТ
440;Винт с потайной головкой и внутренним шестигранником DIN 7991 цинк;М16х30;<>;30; ;Центр крепежа
441;Волоконно-оптический датчик (15м); ;<>;2; ;ПРОЭЛ НПП ООО
442;Волоконно-оптический датчик (18 м);ВОД;<>;1; ;ПРОЭЛ НПП ООО
443;Волоконно-оптический датчик (19 м);ВОД;<>;4; ;ПРОЭЛ НПП ООО
444;Волоконно-оптический датчик (26 м);ВОД;<>;2; ;ПРОЭЛ НПП ООО
445;Волоконно-оптический датчик (L=2 м.);ВОД-Л;<>;36; ;Механотроника НТЦ ООО
446;Волоконно-оптический датчик (L=3 м.);ВОД-Л;<>;36; ;Механотроника НТЦ ООО
447;Волоконно-оптический датчик (L=4 м.);ВОД-Л;<>;37; ;Механотроника НТЦ ООО
448;Вольтметр;PZ194U-9K4T-00001-380В-K-3,4-0,5;<>;2; ;КС-Трейдинг
449;Вольтметр;PZ194U-9К4Т-00001-10000/100В-К-3.4-кл. т. 0,5;<>;4; ;КС-Трейдинг
450;Вольтметр;PZ194U-2K4T-00001-100-K-3,3-0,5;<>;2; ;Мир Энерго
451;Вольтметр;Ц 42704 0-40 кВ;<>;2; ;ЭЛЕКТРОПРИБОР ОАО
452;Вольтметр;Ц42703 В 0-500 1,5 В;<>;2; ;ЭЛЕКТРОПРИБОР ОАО
453;Вольтметр;Э42703 КВ 12,5 10000/100 50 1,5 В ОО;<>;11; ;ЭЛЕКТРОПРИБОР ОАО
454;Вольтметр;М4264М 0-250 В 1,5 В;<>;3; ;ЭЛЕКТРОПРИБОР ОАО
455;Вольтметр;Ц42703 КВ 40 35000/100 1,5 В;<>;3; ;ЭЛЕКТРОПРИБОР ОАО
456;Вольтметр;Ц 42704 0-400 V;<>;49; ;ЭЛЕКТРОПРИБОР ОАО
457;Вольтметр;Э42703 КВ 0-7,5 6000/100 1,5 В ОО;<>;2; ;ЭЛЕКТРОПРИБОР ОАО
458;Вольтметр;ЭВ0704 В 0500 1,5 В;<>;2; ;ЭЛЕКТРОПРИБОР ОАО
459;Вольтметр 3ф 4пр -40+70 кл.т.0.5;PZ194U-AX4 100B/100B K;<>;1; ;КС-Трейдинг
460;Вольтметр цифровой трехфазный 96х96;VD-963;<>;2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
461;Вставка;ТШАГ.745223.000;<>;16; ;Крабер ООО
462;Вставка;НГКШ.745512.2208;<>;2; ;Крабер ООО
463;Вставка;ТШАГ.715152.009;<>;1; ;МЕТАСФЕРА
464;Вставка;ТШАГ.715152.008;<>;7; ;МЕТАСФЕРА
465;Вставка;ТШАГ.715152.007;<>;6; ;МЕТАСФЕРА
466;Вставка;ТШАГ.715152.000;<>;528; ;ТЕХКОМ НН
467;Вставка;ТШАГ.715152.001;<>;589; ;ТЕХКОМ НН
468;Вставка;ТШАГ.715152.006;<>;67; ;ТЕХКОМ НН
469;Вставка;К252.1НН-01.04.001;<>;3; ;ХРОМОС Инжиниринг
470;Вставка;К111.26-01.04.001;<>;1; ;ХРОМОС Инжиниринг
471;Вставка;ТШАГ.745223.002-Л;<>;64; ;ХРОМОС Инжиниринг
472;Вставка;К101.1-01.04.001;<>;7; ;ХРОМОС Инжиниринг
473;Вставка вилочная;HZW-HDD-042-MC;<>;23; ;ЭЛМИ ГРУПП КОННЕКШН
474;Вставка вилочная;HZW-HEE-032-MC;<>;82; ;ЭЛМИ ГРУПП КОННЕКШН
475;Вставка короба ТТ;НГКШ.745512.1924-л;<>;40; ;ХРОМОС Инжиниринг
476;Вставка плавкая (Legrand);5х20 1А;<>;56; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
477;Вставка плавкая цилиндр.;пц-102 6а 10х38 decraft;<>;81; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
478;Вставка плавкая цилиндрическая;ПВЦ 10х38 6А EKF PROxima;<>;20; ;Толедо СК
479;Вставка плавкая цилиндрическая;ПВЦ С2 10х38 aR 6А;<>;66; ;Эра ТД
480;Вставка разделитель 100А;НГКШ.745418.527-01;<>;2; ;Крабер ООО
481;Вставка розеточная;HZW-HDD-042-FC;<>;23; ;ЭЛМИ ГРУПП КОННЕКШН
482;Вставка розеточная;HZW-HEE-032-FC;<>;55; ;ЭЛМИ ГРУПП КОННЕКШН
483;Втулка;НГКШ.713232.207;<>;168; ;Крабер ООО
484;Втулка;ИТЕА.713232.579;<>;105; ;МЕТАСФЕРА
485;Втулка;НГКШ.713232.052;<>;230; ;МЕТАСФЕРА
486;Втулка;НГКШ.715312.436;<>;437; ;МЕТАСФЕРА
487;Втулка;ТШАГ.711141.030;<>;3; ;МЕТАСФЕРА
488;Втулка;ТШАГ.723111.023;<>;42; ;МЕТАСФЕРА
489;Втулка;НГКШ.713232.135;<>;423; ;МЕТАСФЕРА
490;Втулка;ТШАГ.711141.031;<>;6; ;МЕТАСФЕРА
491;Втулка;НГКШ.301341.1075;<>;9; ;МЕТАСФЕРА
492;Втулка;ИТЕА.713232.579;<>;270; ;ТЕХКОМ НН
493;Втулка;НГКШ.713232.135-01;<>;490; ;ТЕХКОМ НН
494;Втулка;К101.1-01.11.001;<>;14; ;ТЕХКОМ НН
495;Втулка;К101.1-01.12.001;<>;14; ;ТЕХКОМ НН
496;Втулка;НГКШ.713232.361;<>;76; ;ТЕХКОМ НН
497;Втулка;НГКШ.715321.483-01;<>;18; ;ТЕХКОМ НН
498;Втулка;НГКШ.715312.381;<>;4; ;ТЕХКОМ НН
499;Втулка;ВЭ 261.1-01.007;<>;18; ;ТЕХКОМ НН
500;Втулка;НГКШ.715312.616;<>;12; ;ТЕХКОМ НН
501;Втулка;НГКШ.713232.041;<>;48; ;ТЕХКОМ НН
502;Втулка;НГКШ.713232.043-01;<>;18; ;ТЕХКОМ НН
503;Втулка;ИТЕА.713232.585;<>;320; ;ТЕХКОМ НН
504;Втулка;ИТЕА.713232.586;<>;100; ;ТЕХКОМ НН
505;Втулка;ТШАГ.713232.020;<>;24; ;ТЕХКОМ НН
506;Втулка;НГКШ.301341.1075;<>;1; ;ТЕХКОМ НН
507;Втулка;К101.1-03.03.000;<>;30; ;ТЕХКОМ НН
508;Втулка;НГКШ.715312.452;<>;8; ;ТЕХКОМ НН
509;Втулка;ТШАГ.711141.021;<>;390; ;ТЕХКОМ НН
510;Втулка;ИТЕА.713232.564;<>;131; ;ТЕХКОМ НН
511;Втулка;ТШАГ.713232.021;<>;224; ;ТЕХКОМ НН
512;Втулка;НГКШ.713232.436;<>;16; ;ТЕХКОМ НН
513;Втулка;НГКШ.713232.433;<>;104; ;ТЕХКОМ НН
514;Втулка;К117.28-41.00.004;<>;2; ;ТЕХКОМ НН
515;Втулка;К117.28-00.00.031;<>;1; ;ТЕХКОМ НН
516;Втулка;НГКШ.715312.483-01;<>;13; ;ТЕХКОМ НН
517;Втулка;НГКШ.713441.061;<>;268; ;ТЕХКОМ НН
518;Втулка;К117.28-41.01.103;<>;2; ;ТЕХКОМ НН
519;Втулка;ВЭ117.28-01.112;<>;4; ;ТЕХКОМ НН
520;Втулка;НГКШ.715312.536;<>;20; ;ТЕХКОМ НН
521;Втулка;НГКШ.715312.483;<>;19; ;ТЕХКОМ НН
522;Втулка;ТШАГ.713232.207;<>;32; ;ТЕХКОМ НН
523;Втулка;НГКШ.715312.520;<>;18; ;ТЕХКОМ НН
524;Втулка;НГКШ.713441.003;<>;314; ;ТЕХКОМ НН
525;Втулка;НГКШ.713441.004;<>;50; ;ТЕХКОМ НН
526;Втулка;ТШАГ.713148.001;<>;22; ;ТЕХКОМ НН
527;Втулка;НГКШ.713232.207;<>;1468; ;ТЕХКОМ НН
